table_name,table_comment,column_name,data_type,column_type,column_key,is_nullable,column_default,extra,column_comment
author,,author_id,bigint,bigint(20),PRI,NO,NULL,auto_increment,
author,,author_name_first,varchar,varchar(35),,YES,NULL,,
author,,author_name_last,varchar,varchar(35),,YES,NULL,,
book,,isbn,varchar,varchar(13),PRI,NO,NULL,,
book,,book_cnt,smallint,smallint(6),,YES,NULL,,
book,,book_ver,smallint,smallint(6),,YES,NULL,,
book,,title,varchar,varchar(40),,YES,NULL,,
book,,written_date,date,date,,YES,NULL,,
book,,author,bigint,bigint(20),MUL,YES,NULL,,
book,,kdc_div,smallint,smallint(6),MUL,YES,NULL,,
book,,kdc_main,smallint,smallint(6),,YES,NULL,,
kdc_code,,kdc_main,smallint,smallint(6),PRI,NO,NULL,,
kdc_code,,kdc_div,smallint,smallint(6),PRI,NO,NULL,,
member,,member_id,varchar,varchar(15),PRI,NO,NULL,,
member,,member_name_first,varchar,varchar(35),,YES,NULL,,
member,,member_name_last,varchar,varchar(35),,YES,NULL,,
transaction_rent,,transaction_rent_no,bigint,bigint(20),PRI,NO,NULL,auto_increment,
transaction_rent,,rent_datetime,datetime,datetime(6),,YES,NULL,,
transaction_rent,,book,varchar,varchar(13),MUL,YES,NULL,,
transaction_rent,,member,varchar,varchar(15),MUL,YES,NULL,,
transaction_return,,transaction_return_no,bigint,bigint(20),PRI,NO,NULL,auto_increment,
transaction_return,,return_datetime,datetime,datetime(6),,YES,NULL,,
transaction_return,,rental_period,int,int(11),,YES,NULL,,
transaction_return,,transaction_rent_no,bigint,bigint(20),UNI,NO,NULL,,
